화면 리프레시를 적극적으로 사용하여\n잔상을 최소화합니다.|화면 리프레시를 적극적으로 사용하여\n잔상을 최소화합니다.
듣기 컨트롤|듣기 컨트롤
삭제한 책장의 작품은 구매 목록이나 다른 내 책장에서 볼 수 있습니다.|삭제한 책장의 작품은 구매 목록이나 다른 내 책장에서 볼 수 있습니다.
구매한 아이디로 로그인 후 다운로드 할 수 있습니다.|구매한 아이디로 로그인 후 다운로드 할 수 있습니다.
내 서재에서 삭제된 작품입니다.|내 서재에서 삭제된 작품입니다.
등록된 글꼴이 없습니다.|등록된 글꼴이 없습니다.
사용 가능한 아이디입니다.|사용 가능한 아이디입니다.
파일 포맷 |파일 포맷 
기다리면 무료|기다리면 무료
을 작성할 수 없습니다. \n댓글을 삭제하시겠습니까?|을 작성할 수 없습니다. \n댓글을 삭제하시겠습니까?
인증 링크 메일 발송 요청에 실패했습니다. 잠시 후 다시 시도해주세요.|인증 링크 메일 발송 요청에 실패했습니다. 잠시 후 다시 시도해주세요.
'를 삭제하시겠습니까?|'를 삭제하시겠습니까?
인증 메일 재발송|인증 메일 재발송
정확한 출생년도를|정확한 출생년도를
로그아웃하시겠습니까?|로그아웃하시겠습니까?
독서노트|독서노트
로그아웃|로그아웃
다운로드 위치|다운로드 위치
구매 목록을 확인하려면 잠금 비밀번호를 입력해주세요.|구매 목록을 확인하려면 잠금 비밀번호를 입력해주세요.
표준시간대 선택|표준시간대 선택
글꼴|글꼴
퀵 버튼을 한 번 더 누르거나<br>|퀵 버튼을 한 번 더 누르거나<br>
이미지 자동 선택을 선택하시면 슬립 화면을 볼 때마다 다른 이미지가 뜹니다.|이미지 자동 선택을 선택하시면 슬립 화면을 볼 때마다 다른 이미지가 뜹니다.
구매 목록|구매 목록
플립 커버로 오토 슬립 ON/OFF|플립 커버로 오토 슬립 ON/OFF
Wi-Fi가 꺼졌습니다.|Wi-Fi가 꺼졌습니다.
계속|계속
리디캐시 충전을 종료하고 이전 화면으로 돌아갑니다.|리디캐시 충전을 종료하고 이전 화면으로 돌아갑니다.
이전 책장 정보 가져오기|이전 책장 정보 가져오기
작품을 처음 열거나 임시 데이터 파일을 삭제한 경우 오래 걸릴 수 있습니다.|작품을 처음 열거나 임시 데이터 파일을 삭제한 경우 오래 걸릴 수 있습니다.
해제하려면 두 손가락으로 화면을 2초 이상 터치해주세요.|해제하려면 두 손가락으로 화면을 2초 이상 터치해주세요.
홍보 및 반복적인 내용|홍보 및 반복적인 내용
일 |일 
메타데이터 오류가 발생했습니다. 재시도 후 문제가 지속되면 고객센터에 문의해주세요.|메타데이터 오류가 발생했습니다. 재시도 후 문제가 지속되면 고객센터에 문의해주세요.
숨긴 작품 목록 보기|숨긴 작품 목록 보기
재생|재생
인증번호가 재발송되었습니다.|인증번호가 재발송되었습니다.
다운로드 목록에 추가하였습니다.|다운로드 목록에 추가하였습니다.
 아이디로 업데이트 이전 책장 가져오기를 시작합니다.| 아이디로 업데이트 이전 책장 가져오기를 시작합니다.
비밀번호가 일치하지 않습니다.|비밀번호가 일치하지 않습니다.
타인/특정 종교/민족/계층 비방|타인/특정 종교/민족/계층 비방
해당 페이지|해당 페이지
